x,y,z
-1.479616626,-0.08619126,9.653421094
-1.482010828,-0.031124622,9.622296472
-1.489193433,-0.07182605,9.629479077
-1.467645618,-0.052672437,9.564835632
-1.501164441,-0.05746084,9.624690674
-1.453280408,-0.07182605,9.643844287
-1.491587634,-0.062249243,9.603142859
-1.431732593,-0.076614453,9.629479077
-1.479616626,-0.02873042,9.653421094
-1.508347046,-0.050278235,9.603142859
-1.472434021,-0.016759412,9.560047229
-1.479616626,-0.038307227,9.567229834
-1.513135449,-0.050278235,9.567229834
-1.486799231,-0.052672437,9.612719666
-1.508347046,-0.05746084,9.686939917
-1.450886206,-0.050278235,9.600748657
-1.462857214,-0.062249243,9.519345801
-1.508347046,-0.035913025,9.639055884
-1.522712256,-0.093373865,9.593566052
-1.486799231,-0.079008655,9.765948572
-1.501164441,-0.059855042,9.552864624
-1.455674609,-0.038307227,9.653421094
-1.496376038,-0.064643445,9.562441431
-1.503558643,-0.062249243,9.598354456
-1.508347046,-0.067037646,9.588777649
-1.486799231,-0.076614453,9.593566052
-1.472434021,-0.052672437,9.600748657
-1.467645618,-0.045489832,9.600748657
-1.484405029,-0.076614453,9.603142859
-1.515529651,-0.05746084,9.562441431
-1.493981836,-0.033518823,9.586383447
-1.515529651,-0.069431848,9.607931262
-1.517923853,-0.062249243,9.619902271
-1.501164441,-0.040701428,9.627084875
-1.491587634,-0.07182605,9.636661682
-1.453280408,-0.059855042,9.555258826
-1.455674609,-0.079008655,9.610325464
-1.489193433,-0.050278235,9.586383447
-1.474828223,-0.069431848,9.593566052
-1.489193433,-0.038307227,9.576806641
-1.482010828,-0.062249243,9.548076221
-1.515529651,-0.067037646,9.627084875
-1.513135449,-0.050278235,9.552864624
-1.479616626,-0.062249243,9.593566052
-1.477222424,-0.074220251,9.555258826
-1.498770239,-0.07182605,9.600748657
-1.489193433,-0.074220251,9.502586389
-1.477222424,-0.035913025,9.526528406
-1.458068811,-0.074220251,9.715670337
-1.462857214,-0.033518823,9.533711011
-1.470039819,-0.059855042,9.519345801
-1.467645618,-0.069431848,9.636661682
-1.515529651,-0.047884033,9.612719666
-1.482010828,-0.07182605,9.639055884
-1.515529651,-0.01436521,9.557653027
-1.486799231,-0.05746084,9.588777649
-1.489193433,-0.059855042,9.629479077
-1.484405029,-0.105344873,9.595960254
-1.501164441,-0.047884033,9.605537061
-1.501164441,-0.050278235,9.579200842
-1.458068811,-0.07182605,9.643844287
-1.498770239,-0.05746084,9.564835632
-1.450886206,-0.038307227,9.598354456
-1.501164441,-0.102950671,9.646238489
-1.477222424,-0.07182605,9.595960254
-1.482010828,-0.055066638,9.536105212
-1.470039819,-0.062249243,9.77791958
-1.501164441,-0.050278235,9.583989246
-1.472434021,-0.067037646,9.504980591
-1.529894861,-0.069431848,9.641450085
-1.508347046,-0.062249243,9.593566052
-1.470039819,-0.076614453,9.598354456
-1.460463013,-0.090979663,9.615113867
-1.482010828,-0.031124622,9.622296472
-1.661575952,-0.069431848,9.63426748
-1.465251416,-0.055066638,9.610325464
-1.484405029,-0.067037646,9.643844287
-1.486799231,-0.059855042,9.574412439
-1.501164441,-0.093373865,9.572018237
-1.486799231,-0.059855042,9.605537061
-1.501164441,-0.095768066,9.74918916
-1.520318054,-0.067037646,9.610325464
-1.484405029,-0.07182605,9.615113867
-1.486799231,-0.047884033,9.624690674
-1.467645618,-0.090979663,9.651026892
-1.458068811,-0.038307227,9.595960254
-1.491587634,-0.050278235,9.610325464
-1.474828223,-0.102950671,9.636661682
-1.505952844,-0.093373865,9.598354456
-1.498770239,-0.069431848,9.619902271
-1.491587634,-0.069431848,9.579200842
-1.484405029,-0.090979663,9.658209497
-1.381454358,-0.08619126,9.643844287
-1.527500659,-0.067037646,9.588777649
-1.493981836,-0.067037646,9.500192188
-1.450886206,-0.098162268,9.607931262
-1.458068811,-0.021547815,9.603142859
-1.501164441,-0.059855042,9.605537061
-1.489193433,-0.08619126,9.603142859
-1.505952844,-0.062249243,9.636661682
-1.484405029,-0.05746084,9.607931262
-1.472434021,-0.01436521,9.598354456
-1.453280408,-0.081402856,9.605537061
-1.477222424,-0.045489832,9.545682019
-1.484405029,-0.047884033,9.598354456
-1.479616626,-0.090979663,9.586383447
-1.479616626,-0.040701428,9.576806641
-1.460463013,-0.055066638,9.550470422
-1.465251416,-0.059855042,9.658209497
-1.491587634,-0.069431848,9.655815295
-1.470039819,-0.074220251,9.610325464
-1.467645618,-0.023942017,9.593566052
-1.467645618,-0.074220251,9.555258826
-1.477222424,-0.04309563,9.610325464
-1.503558643,-0.074220251,9.583989246
-1.486799231,-0.047884033,9.631873279
-1.493981836,-0.074220251,9.557653027
-1.503558643,-0.04309563,9.595960254
-1.482010828,-0.062249243,9.550470422
-1.486799231,-0.05746084,9.653421094
-1.505952844,-0.050278235,9.593566052
-1.505952844,-0.055066638,9.629479077
-1.484405029,-0.047884033,9.622296472
-1.532289062,-0.047884033,9.600748657
-1.525106458,-0.105344873,9.670180505
-1.493981836,-0.02873042,9.545682019
-1.470039819,-0.05746084,9.586383447
-1.493981836,-0.08619126,9.627084875
-1.489193433,-0.069431848,9.560047229
-1.486799231,-0.062249243,9.624690674
-1.503558643,-0.064643445,9.64863269
-1.470039819,-0.055066638,9.591171851
-1.525106458,-0.05746084,9.579200842
-1.484405029,-0.055066638,9.560047229
-1.486799231,-0.079008655,9.543287817
-1.491587634,-0.033518823,9.543287817
-1.501164441,-0.062249243,9.591171851
-1.460463013,-0.047884033,9.612719666
-1.482010828,-0.083797058,9.603142859
-1.491587634,-0.040701428,9.641450085
-1.486799231,-0.045489832,9.643844287
-1.501164441,-0.038307227,9.574412439
-1.477222424,-0.050278235,9.593566052
-1.465251416,-0.045489832,9.526528406
-1.467645618,-0.08619126,9.631873279
