x,y,z
-0.124849,0.139582,-0.155057
-0.170589,0.124432,-0.17038
-0.170589,0.139582,-0.155057
-0.155342,0.124432,-0.155057
-0.155342,0.124432,-0.17038
-0.155342,0.124432,-0.17038
-0.155342,0.139582,-0.155057
-0.170589,0.154731,-0.139734
-0.155342,0.124432,-0.155057
-0.155342,0.124432,-0.17038
-0.201081,0.124432,-0.17038
-0.170589,0.124432,-0.185703
-0.185835,0.139582,-0.185703
-0.216328,0.139582,-0.17038
-0.216328,0.139582,-0.155057
-0.170589,0.139582,-0.155057
-0.170589,0.124432,-0.17038
-0.185835,0.124432,-0.185703
-0.155342,0.139582,-0.155057
-0.170589,0.154731,-0.124411
-0.170589,0.169881,-0.155057
-0.170589,0.139582,-0.139734
-0.216328,0.154731,-0.17038
-0.216328,0.139582,-0.155057
-0.216328,0.139582,-0.139734
-0.155342,0.139582,-0.139734
-0.155342,0.154731,-0.139734
-0.140096,0.154731,-0.17038
-0.201081,0.154731,-0.17038
-0.216328,0.109283,-0.17038
-0.140096,0.139582,-0.155057
-0.124849,0.139582,-0.139734
-0.124849,0.139582,-0.17038
-0.109603,0.154731,-0.17038
-0.140096,0.154731,-0.139734
-0.140096,0.124432,-0.124411
-0.140096,0.169881,-0.139734
-0.140096,0.169881,-0.139734
-0.155342,0.139582,-0.139734
-0.155342,0.124432,-0.155057
-0.185835,0.124432,-0.139734
-0.185835,0.139582,-0.139734
-0.170589,0.169881,-0.155057
-0.170589,0.169881,-0.17038
-0.185835,0.169881,-0.124411
-0.170589,0.169881,-0.124411
-0.185835,0.154731,-0.155057
-0.185835,0.169881,-0.155057
-0.170589,0.169881,-0.155057
-0.140096,0.169881,-0.17038
-0.155342,0.169881,-0.155057
-0.170589,0.169881,-0.139734
-0.201081,0.154731,-0.155057
-0.185835,0.154731,-0.155057
-0.155342,0.18503,-0.155057
-0.155342,0.139582,-0.139734
-0.140096,0.169881,-0.139734
-0.155342,0.154731,-0.155057
-0.170589,0.18503,-0.17038
-0.170589,0.18503,-0.124411
-0.170589,0.169881,-0.124411
-0.170589,0.154731,-0.139734
-0.170589,0.200179,-0.17038
-0.170589,0.169881,-0.155057
-0.140096,0.18503,-0.155057
-0.170589,0.154731,-0.139734
-0.201081,0.154731,-0.139734
-0.170589,0.169881,-0.124411
-0.170589,0.154731,-0.139734
-0.155342,0.169881,-0.139734
-0.140096,0.200179,-0.155057
-0.155342,0.169881,-0.139734
-0.185835,0.200179,-0.124411
-0.155342,0.169881,-0.139734
-0.140096,0.200179,-0.124411
-0.109603,0.139582,-0.17038
-0.124849,0.124432,-0.17038
-0.201081,0.18503,-0.109088
-0.185835,0.154731,-0.155057
-0.170589,0.169881,-0.124411
-0.140096,0.154731,-0.17038
-0.124849,0.154731,-0.155057
-0.155342,0.200179,-0.124411
-0.124849,0.18503,-0.155057
-0.170589,0.200179,-0.124411
-0.170589,0.230478,-0.093766
-0.185835,0.18503,-0.124411
-0.170589,0.18503,-0.124411
-0.155342,0.18503,-0.124411
-0.155342,0.200179,-0.124411
-0.185835,0.169881,-0.124411
-0.170589,0.139582,-0.109088
-0.170589,0.18503,-0.109088
-0.201081,0.169881,-0.124411
-0.216328,0.18503,-0.109088
-0.185835,0.18503,-0.124411
-0.170589,0.18503,-0.109088
-0.155342,0.18503,-0.155057
-0.109603,0.200179,-0.124411
-0.140096,0.18503,-0.109088
-0.155342,0.200179,-0.109088
-0.170589,0.169881,-0.124411
-0.155342,0.200179,-0.124411
-0.170589,0.169881,-0.109088
-0.124849,0.200179,-0.124411
-0.109603,0.18503,-0.093766
-0.124849,0.200179,-0.109088
-0.170589,0.200179,-0.093766
-0.201081,0.18503,-0.109088
-0.170589,0.200179,-0.124411
-0.140096,0.200179,-0.124411
-0.124849,0.200179,-0.124411
-0.140096,0.200179,-0.109088
-0.109603,0.200179,-0.139734
-0.109603,0.200179,-0.109088
-0.109603,0.215329,-0.124411
-0.109603,0.200179,-0.139734
-0.155342,0.18503,-0.124411
-0.155342,0.18503,-0.109088
-0.155342,0.200179,-0.109088
-0.155342,0.18503,-0.139734
-0.155342,0.169881,-0.124411
-0.155342,0.200179,-0.124411
-0.124849,0.200179,-0.124411
-0.140096,0.200179,-0.124411
-0.140096,0.18503,-0.139734
-0.170589,0.200179,-0.124411
-0.140096,0.200179,-0.139734
-0.155342,0.18503,-0.124411
-0.140096,0.18503,-0.124411
-0.109603,0.215329,-0.139734
-0.094357,0.200179,-0.139734
-0.170589,0.200179,-0.124411
-0.155342,0.215329,-0.109088
-0.155342,0.200179,-0.124411
-0.155342,0.230478,-0.124411
-0.170589,0.215329,-0.124411
-0.124849,0.200179,-0.139734
-0.124849,0.18503,-0.124411
-0.109603,0.200179,-0.093766
-0.140096,0.200179,-0.093766
-0.155342,0.215329,-0.109088
-0.185835,0.200179,-0.124411
-0.155342,0.200179,-0.139734
-0.140096,0.230478,-0.124411
-0.124849,0.215329,-0.109088
-0.07911,0.200179,-0.124411
-0.094357,0.215329,-0.124411
-0.07911,0.200179,-0.093766
-0.07911,0.215329,-0.093766
-0.109603,0.215329,-0.109088
-0.170589,0.230478,-0.124411
-0.140096,0.200179,-0.139734
-0.155342,0.215329,-0.139734
-0.124849,0.230478,-0.124411
-0.07911,0.245627,-0.093766
-0.07911,0.215329,-0.109088
-0.109603,0.200179,-0.139734
-0.094357,0.215329,-0.109088
-0.109603,0.215329,-0.093766
-0.124849,0.230478,-0.109088
-0.094357,0.230478,-0.124411
